Date,value,percentage
2015-06-10,100754.64577919597,0.7546457791959692
2015-06-11,101079.41395278877,1.0794139527887747
2015-06-12,100305.6794959544,0.30567949595440586
2015-06-15,99875.80414229944,-0.1241958577005571
2015-06-16,100420.31566891204,0.4203156689120369
2015-06-17,100582.72034558073,0.582720345580732
2015-06-18,101628.68585787465,1.6286858578746468
2015-06-19,101177.53704817043,1.1775370481704304
2015-06-22,101695.89943697567,1.6958994369756692
2015-06-23,101767.87339454998,1.7678733945499843
2015-06-24,101028.76286695722,1.028762866957215
2015-06-25,100721.58668024835,0.7215866802483506
2015-06-26,100702.39691927476,0.7023969192747609
2015-06-29,98590.64196564684,-1.4093580343531649
2015-06-30,98797.00190167862,-1.2029980983213755
2015-07-01,99588.92133371886,-0.41107866628114426
2015-07-02,99497.7164354264,-0.502283564573605
2015-07-06,99214.57274765354,-0.7854272523464606
2015-07-07,99838.52000155806,-0.16147999844193692
2015-07-08,98163.48447513406,-1.836515524865943
2015-07-09,98341.06800565438,-1.658931994345621
2015-07-10,99579.31821728314,-0.4206817827168561
2015-07-13,100678.40560008334,0.6784056000833371
2015-07-14,101115.15797108291,1.11515797108291
2015-07-15,101081.58000735361,1.0815800073536084
2015-07-16,101892.67272846958,1.8926727284695808
2015-07-17,101979.06783259528,1.9790678325952757
2015-07-20,102031.83555729817,2.0318355572981672
2015-07-21,101628.67762192573,1.62867762192573
2015-07-22,101446.30076913646,1.446300769136462
2015-07-23,100875.17065562833,0.8751706556283316
2015-07-24,99828.8839413267,-0.17111605867330218
2015-07-27,99248.17541922959,-0.7518245807704079
2015-07-28,100467.23586988478,0.467235869884782
2015-07-29,101158.38023099251,1.1583802309925086
2015-07-30,101182.3468423372,1.182346842337196
2015-07-31,101028.76286695722,1.028762866957215
2015-08-03,100687.9840086723,0.6879840086722979
2015-08-04,100491.2189531273,0.4912189531273034
2015-08-05,100822.3864590276,0.8223864590276062
2015-08-06,99996.91377110481,-0.003086228895190288
2015-08-07,99804.90085808418,-0.19509914191582356
2015-08-10,101062.35730258437,1.0623573025843653
2015-08-11,100150.44833079129,0.15044833079128875
2015-08-12,100270.43787054412,0.2704378705441195
2015-08-13,100145.66324447127,0.14566324447127407
2015-08-14,100510.4169500498,0.5104169500497956
2015-08-17,101071.95218307115,1.0719521830711456
2015-08-18,100779.18890696476,0.7791889069647586
2015-08-19,99982.47615265558,-0.017523847344418756
2015-08-20,97894.72075416801,-2.105279245831989
2015-08-21,94947.85705238592,-5.052142947614077
2015-08-24,90949.87213428869,-9.050127865711314
2015-08-25,89879.61880864236,-10.120381191357636
2015-08-26,93330.41551672941,-6.669584483270592
2015-08-27,95638.95199780015,-4.361048002199852
2015-08-28,95643.77002791583,-4.3562299720841695
2015-08-31,94871.05682874702,-5.128943171252977
2015-09-01,92039.38110849992,-7.960618891500082
2015-09-02,93786.38235654931,-6.213617643450692
2015-09-03,93853.5712278036,-6.146428772196407
2015-09-04,92432.91945553881,-7.5670805444611915
2015-09-08,94755.86061126312,-5.244139388736875
2015-09-09,93488.82575817397,-6.511174241826025
2015-09-10,93997.53561485003,-6.002464385149971
2015-09-11,94424.69310536282,-5.575306894637179
2015-09-14,94074.31113064219,-5.925688869357807
2015-09-15,95250.22344492802,-4.7497765550719775
2015-09-16,96075.71260474865,-3.9242873952513473
2015-09-17,95859.74955228115,-4.140250447718849
2015-09-18,94293.26383256608,-5.7067361674339185
2015-09-21,94780.51904231672,-5.2194809576832775
2015-09-22,93550.29888088077,-6.449701119119229
2015-09-23,93400.73404857166,-6.599265951428343
2015-09-24,93063.00249138553,-6.9369975086144695
2015-09-25,93038.89586890928,-6.961104131090717
2015-09-28,90703.88081207455,-9.296119187925447
2015-09-29,90756.92855904058,-9.24307144095942
2015-09-30,92450.32201559769,-7.549677984402312
2015-10-01,92691.56119528746,-7.30843880471254
2015-10-02,94076.17245509714,-5.923827544902859
2015-10-05,95750.22790360017,-4.249772096399829
2015-10-06,95422.17358639001,-4.57782641360999
2015-10-07,96203.72395874538,-3.7962760412546195
2015-10-08,97072.11417646788,-2.927885823532124
2015-10-09,97130.02936924309,-2.869970630756914
2015-10-12,97221.66253687916,-2.7783374631208426
2015-10-13,96608.96558919348,-3.3910344108065185
2015-10-14,96145.81700191909,-3.8541829980809124
2015-10-15,97622.09437316051,-2.3779056268394925
2015-10-16,98065.95436807434,-1.9340456319256627
2015-10-19,98114.16761302685,-1.885832386973154
2015-10-20,97988.74234698965,-2.0112576530103543
2015-10-21,97380.87166536857,-2.6191283346314305
2015-10-22,99026.00246127967,-0.9739975387203303
2015-10-23,100111.50876431786,0.11150876431785582
2015-10-26,99865.45979046132,-0.13454020953868168
2015-10-27,99672.49150736646,-0.3275084926335403
2015-10-28,100806.21929130609,0.8062192913060863
2015-10-29,100748.32880637763,0.7483288063776272
2015-10-30,100314.10487169516,0.3141048716951627
2015-11-02,101500.9298182943,1.500929818294302
2015-11-03,101795.20850900118,1.7952085090011825
2015-11-04,101486.45925604942,1.4864592560494203
2015-11-05,101385.1488484374,1.3851488484373986
2015-11-06,101332.0681576757,1.3320681576757052
2015-11-09,100386.48239076634,0.3864823907663376
2015-11-10,100618.04433048017,0.6180443304801738
2015-11-11,100222.46346811017,0.22246346811017428
2015-11-12,98823.3734101067,-1.1766265898933053
2015-11-13,97713.76048459225,-2.286239515407753
2015-11-16,99199.69862391178,-0.8003013760882168
2015-11-17,99127.31286889169,-0.8726871311083086
2015-11-18,100700.06614573163,0.700066145731631
2015-11-19,100613.24277226231,0.6132427722623106
