Date,value,percentage
2015-06-10,100000.0,0.0
2015-06-11,100000.0,0.0
2015-06-12,100000.0,0.0
2015-06-15,100000.0,0.0
2015-06-16,100000.0,0.0
2015-06-17,100000.0,0.0
2015-06-18,100695.66098986656,0.6956609898665629
2015-06-19,100248.65405265703,0.24865405265703158
2015-06-22,100762.25749968013,0.7622574996801268
2015-06-23,100833.57068424828,0.833570684248276
2015-06-24,100101.24572607057,0.10124572607057053
2015-06-25,99796.88963900818,-0.20311036099182092
2015-06-26,99777.87605392479,-0.22212394607521127
2015-06-29,98936.18211832453,-1.0638178816754662
2015-06-30,98936.18211832453,-1.0638178816754662
2015-07-01,98936.18211832453,-1.0638178816754662
2015-07-02,98936.18211832453,-1.0638178816754662
2015-07-06,98936.18211832453,-1.0638178816754662
2015-07-07,98936.18211832453,-1.0638178816754662
2015-07-08,98936.18211832453,-1.0638178816754662
2015-07-09,98936.18211832453,-1.0638178816754662
2015-07-10,98936.18211832453,-1.0638178816754662
2015-07-13,98936.18211832453,-1.0638178816754662
2015-07-14,99389.06161898644,-0.6109383810135623
2015-07-15,99356.05685122365,-0.6439431487763504
2015-07-16,100153.30373344444,0.15330373344443796
2015-07-17,100238.22402135996,0.238224021359958
2015-07-20,100290.09096937471,0.29009096937470896
2015-07-21,99893.8151816004,-0.1061848183996044
2015-07-22,99714.55161099971,-0.28544838900028846
2015-07-23,99153.17103084819,-0.8468289691518148
2015-07-24,98124.74505787398,-1.8752549421260192
2015-07-27,97624.71695605927,-2.375283043940726
2015-07-28,97624.71695605927,-2.375283043940726
2015-07-29,97624.71695605927,-2.375283043940726
2015-07-30,97931.30560080912,-2.0686943991908775
2015-07-31,97782.6563581526,-2.217343641847401
2015-08-03,97452.82690119211,-2.5471730988078924
2015-08-04,97411.02853279116,-2.588971467208845
2015-08-05,97411.02853279116,-2.588971467208845
2015-08-06,97411.02853279116,-2.588971467208845
2015-08-07,97411.02853279116,-2.588971467208845
2015-08-10,97411.02853279116,-2.588971467208845
2015-08-11,97411.02853279116,-2.588971467208845
2015-08-12,97411.02853279116,-2.588971467208845
2015-08-13,97411.02853279116,-2.588971467208845
2015-08-14,97411.02853279116,-2.588971467208845
2015-08-17,98288.47435242627,-1.711525647573726
2015-08-18,98003.77365026911,-1.9962263497308885
2015-08-19,97588.37827208954,-2.41162172791046
2015-08-20,97588.37827208954,-2.41162172791046
2015-08-21,97588.37827208954,-2.41162172791046
2015-08-24,97588.37827208954,-2.41162172791046
2015-08-25,97588.37827208954,-2.41162172791046
2015-08-26,97588.37827208954,-2.41162172791046
2015-08-27,97588.37827208954,-2.41162172791046
2015-08-28,97588.37827208954,-2.41162172791046
2015-08-31,97588.37827208954,-2.41162172791046
2015-09-01,97588.37827208954,-2.41162172791046
2015-09-02,97588.37827208954,-2.41162172791046
2015-09-03,97588.37827208954,-2.41162172791046
2015-09-04,97588.37827208954,-2.41162172791046
2015-09-08,97588.37827208954,-2.41162172791046
2015-09-09,97588.37827208954,-2.41162172791046
2015-09-10,98235.42722066981,-1.7645727793301922
2015-09-11,98681.84316441295,-1.318156835587055
2015-09-14,98315.6641709749,-1.6843358290251054
2015-09-15,99544.59265098567,-0.4554073490143346
2015-09-16,100407.29910121944,0.40729910121943974
2015-09-17,100181.5993253237,0.18159932532369566
2015-09-18,98544.48838507711,-1.4555116149228853
2015-09-21,99053.71156185782,-0.9462884381421754
2015-09-22,97768.02675806335,-2.2319732419366485
2015-09-23,97611.71877506179,-2.3882812249382113
2015-09-24,97258.7605449437,-2.741239455056304
2015-09-25,97233.56707213282,-2.7664329278671795
2015-09-28,96694.08639513512,-3.30591360486488
2015-09-29,96694.08639513512,-3.30591360486488
2015-09-30,96694.08639513512,-3.30591360486488
2015-10-01,96694.08639513512,-3.30591360486488
2015-10-02,99358.94199580625,-0.6410580041937501
2015-10-05,101127.00264139606,1.1270026413960585
2015-10-06,100780.52670573108,0.7805267057310848
2015-10-07,101605.96439188613,1.6059643918861257
2015-10-08,102523.11834299525,2.5231183429952506
2015-10-09,102584.28571544946,2.584285715449456
2015-10-12,102681.06446771418,2.6810644677141826
2015-10-13,102033.96203042948,2.0339620304294805
2015-10-14,101544.80571786371,1.54480571786371
2015-10-15,103103.9822220833,3.1039822220833013
2015-10-16,103572.76680736127,3.572766807361273
2015-10-19,103623.68742714895,3.6236874271489503
2015-10-20,103491.21900918747,3.4912190091874655
2015-10-21,102849.21385294062,2.849213852940622
2015-10-22,104586.72560603055,4.5867256060305515
2015-10-23,105733.18761638852,5.733187616388517
2015-10-26,105473.32196620798,5.47332196620798
2015-10-27,105269.517709012,5.269517709011998
2015-10-28,106466.90903758946,6.466909037589459
2015-10-29,106405.76776043067,6.405767760430666
2015-10-30,105947.16034036479,5.94716034036479
2015-11-02,107200.6304587904,7.2006304587904015
2015-11-03,107511.43412562223,7.511434125622224
2015-11-04,107185.34731410866,7.1853473141086575
2015-11-05,107078.34790447282,7.078347904472816
2015-11-06,107022.28651148826,7.022286511488259
2015-11-09,106650.32542188319,6.650325421883187
2015-11-10,106650.32542188319,6.650325421883187
2015-11-11,106650.32542188319,6.650325421883187
2015-11-12,106650.32542188319,6.650325421883187
2015-11-13,106650.32542188319,6.650325421883187
2015-11-16,106650.32542188319,6.650325421883187
2015-11-17,106650.32542188319,6.650325421883187
2015-11-18,106650.32542188319,6.650325421883187
2015-11-19,106650.32542188319,6.650325421883187
2015-11-20,106650.32542188319,6.650325421883187
2015-11-23,106650.32542188319,6.650325421883187
2015-11-24,106650.32542188319,6.650325421883187
2015-11-25,106650.32542188319,6.650325421883187
2015-11-27,106650.32542188319,6.650325421883187
2015-11-30,106650.32542188319,6.650325421883187
2015-12-01,106650.32542188319,6.650325421883187
2015-12-02,106650.32542188319,6.650325421883187
2015-12-03,106650.32542188319,6.650325421883187
2015-12-04,106650.32542188319,6.650325421883187
2015-12-07,106650.32542188319,6.650325421883187
2015-12-08,106650.32542188319,6.650325421883187
2015-12-09,106650.32542188319,6.650325421883187
2015-12-10,106650.32542188319,6.650325421883187
2015-12-11,106650.32542188319,6.650325421883187
2015-12-14,106650.32542188319,6.650325421883187
2015-12-15,106650.32542188319,6.650325421883187
2015-12-16,106650.32542188319,6.650325421883187
2015-12-17,106650.32542188319,6.650325421883187
2015-12-18,106650.32542188319,6.650325421883187
2015-12-21,106650.32542188319,6.650325421883187
2015-12-22,106650.32542188319,6.650325421883187
2015-12-23,106650.32542188319,6.650325421883187
2015-12-24,106629.58400485881,6.629584004858813
2015-12-28,106385.9182826472,6.385918282647196
2015-12-29,107521.30060438512,7.52130060438512
2015-12-30,106759.18538245483,6.759185382454831
2015-12-31,105691.2387106574,5.6912387106574025
2016-01-04,103938.96928425622,3.938969284256222
2016-01-05,103938.96928425622,3.938969284256222
2016-01-06,103938.96928425622,3.938969284256222
2016-01-07,103938.96928425622,3.938969284256222
2016-01-08,103938.96928425622,3.938969284256222
2016-01-11,103938.96928425622,3.938969284256222
2016-01-12,103938.96928425622,3.938969284256222
2016-01-13,103938.96928425622,3.938969284256222
2016-01-14,103938.96928425622,3.938969284256222
2016-01-15,103938.96928425622,3.938969284256222
2016-01-19,103938.96928425622,3.938969284256222
2016-01-20,103938.96928425622,3.938969284256222
2016-01-21,103938.96928425622,3.938969284256222
2016-01-22,103938.96928425622,3.938969284256222
2016-01-25,103938.96928425622,3.938969284256222
2016-01-26,103938.96928425622,3.938969284256222
2016-01-27,103938.96928425622,3.938969284256222
2016-01-28,103473.87792206324,3.473877922063242
2016-01-29,105996.28033359422,5.996280333594215
2016-02-01,105957.97741972198,5.957977419721981
2016-02-02,104048.36591681752,4.048365916817522
2016-02-03,104672.15092241972,4.672150922419721
2016-02-04,104836.29167600021,4.8362916760002115
2016-02-05,102839.17310392436,2.8391731039243604
2016-02-08,101454.83615492015,1.454836154920151
2016-02-09,101460.27749007873,1.4602774900787336
2016-02-10,101996.52582017069,1.9965258201706892
2016-02-11,101996.52582017069,1.9965258201706892
2016-02-12,101996.52582017069,1.9965258201706892
2016-02-16,102542.2477487777,2.542247748777707
2016-02-17,104217.23424358391,4.217234243583909
2016-02-18,103790.41390439171,3.7904139043917096
2016-02-19,103741.76071371212,3.741760713712123
2016-02-22,105243.86608204394,5.24386608204394
2016-02-23,103914.66017912004,3.9146601791200375
2016-02-24,104390.13370899184,4.390133708991838
2016-02-25,105654.48397345422,5.6544839734542185
2016-02-26,105411.35556205778,5.411355562057783
2016-02-29,104584.64560757576,4.58464560757576
2016-03-01,107043.11719051201,7.043117190512014
2016-03-02,107524.00070577787,7.524000705777871
2016-03-03,107945.45690690985,7.94545690690985
2016-03-04,108296.66582311978,8.29666582311978
2016-03-07,108383.11555582374,8.383115555823736
2016-03-08,107199.82337760479,7.199823377604785
2016-03-09,107729.33257514995,7.72933257514995
2016-03-10,107815.7547994536,7.815754799453599
2016-03-11,109555.59693272131,9.55559693272131
2016-03-14,109415.12070181075,9.415120701810752
2016-03-15,109236.81125100875,9.236811251008753
2016-03-16,109869.00930690687,9.869009306906868
2016-03-17,110566.03549286618,10.566035492866183
2016-03-18,111000.50316734426,11.000503167344258
2016-03-21,111158.01626751275,11.15801626751275
2016-03-22,111098.24968310838,11.098249683108385
2016-03-23,110365.0591202097,10.365059120209699
2016-03-24,110316.20420126116,10.316204201261163
2016-03-28,110582.30071705751,10.582300717057516
2016-03-29,111869.41012846332,11.86941012846332
2016-03-30,112360.30201461233,12.360302014612332
2016-03-31,112087.57304597773,12.087573045977727
2016-04-01,112851.11102960708,12.851111029607083
2016-04-04,112485.71369470966,12.485713694709657
2016-04-05,111623.99362005136,11.623993620051362
2016-04-06,111623.99362005136,11.623993620051362
2016-04-07,111623.99362005136,11.623993620051362
2016-04-08,111623.99362005136,11.623993620051362
2016-04-11,111623.99362005136,11.623993620051362
2016-04-12,111623.99362005136,11.623993620051362
2016-04-13,111623.99362005136,11.623993620051362
2016-04-14,111623.99362005136,11.623993620051362
2016-04-15,111623.99362005136,11.623993620051362
2016-04-18,112408.34139688936,12.408341396889359
2016-04-19,112762.90009765456,12.762900097654564
2016-04-20,112870.34432699802,12.87034432699802
2016-04-21,112263.29259428421,12.263292594284213
2016-04-22,112037.66031666572,12.037660316665715
2016-04-25,112037.66031666572,12.037660316665715
2016-04-26,112037.66031666572,12.037660316665715
2016-04-27,112037.66031666572,12.037660316665715
2016-04-28,112037.66031666572,12.037660316665715
2016-04-29,112037.66031666572,12.037660316665715
2016-05-02,112037.66031666572,12.037660316665715
2016-05-03,112037.66031666572,12.037660316665715
2016-05-04,112037.66031666572,12.037660316665715
2016-05-05,112037.66031666572,12.037660316665715
2016-05-06,112037.66031666572,12.037660316665715
2016-05-09,112037.66031666572,12.037660316665715
2016-05-10,112037.66031666572,12.037660316665715
2016-05-11,112037.66031666572,12.037660316665715
2016-05-12,112037.66031666572,12.037660316665715
2016-05-13,112037.66031666572,12.037660316665715
2016-05-16,112037.66031666572,12.037660316665715
2016-05-17,112037.66031666572,12.037660316665715
