Date,value,percentage
2015-06-09,100000.0,0.0
2015-06-10,100000.0,0.0
2015-06-11,100000.0,0.0
2015-06-12,100000.0,0.0
2015-06-15,100000.0,0.0
2015-06-16,100000.0,0.0
2015-06-17,100000.0,0.0
2015-06-18,100000.0,0.0
2015-06-19,99692.60894039742,-0.3073910596025817
2015-06-22,100203.36360417194,0.20336360417194374
2015-06-23,100274.28123881383,0.2742812388138263
2015-06-24,99546.01823755146,-0.45398176244854405
2015-06-25,99243.3503099581,-0.7566496900419006
2015-06-26,99224.44218674999,-0.7755578132500086
2015-06-29,98387.4168405022,-1.6125831594977935
2015-06-30,98387.4168405022,-1.6125831594977935
2015-07-01,98387.4168405022,-1.6125831594977935
2015-07-02,98387.4168405022,-1.6125831594977935
2015-07-06,98387.4168405022,-1.6125831594977935
2015-07-07,98387.4168405022,-1.6125831594977935
2015-07-08,98387.4168405022,-1.6125831594977935
2015-07-09,98387.4168405022,-1.6125831594977935
2015-07-10,98387.4168405022,-1.6125831594977935
2015-07-13,98387.4168405022,-1.6125831594977935
2015-07-14,98837.78437294703,-1.1622156270529667
2015-07-15,98804.9626713807,-1.1950373286193061
2015-07-16,99597.78749690343,-0.402212503096569
2015-07-17,99682.23676092867,-0.3177632390713261
2015-07-20,99733.81602066268,-0.26618397933732196
2015-07-21,99339.73823960457,-0.6602617603954277
2015-07-22,99161.46898292442,-0.8385310170755838
2015-07-23,98603.20218949312,-1.396797810506876
2015-07-24,97580.48054483133,-2.4195194551686727
2015-07-27,97083.22592845275,-2.9167740715472465
2015-07-28,97083.22592845275,-2.9167740715472465
2015-07-29,97083.22592845275,-2.9167740715472465
2015-07-30,97083.22592845275,-2.9167740715472465
2015-07-31,96660.7664124986,-3.339233587501396
2015-08-03,96334.72118850259,-3.66527881149741
2015-08-04,96146.46330498061,-3.8535366950193857
2015-08-05,96637.80245071297,-3.362197549287026
2015-08-06,96637.80245071297,-3.362197549287026
2015-08-07,96637.80245071297,-3.362197549287026
2015-08-10,96637.80245071297,-3.362197549287026
2015-08-11,96637.80245071297,-3.362197549287026
2015-08-12,96637.80245071297,-3.362197549287026
2015-08-13,96637.80245071297,-3.362197549287026
2015-08-14,96637.80245071297,-3.362197549287026
2015-08-17,96637.80245071297,-3.362197549287026
2015-08-18,96509.11193693455,-3.4908880630654457
2015-08-19,95746.15639798704,-4.253843602012959
2015-08-20,94914.26940271736,-5.085730597282644
2015-08-21,94914.26940271736,-5.085730597282644
2015-08-24,94914.26940271736,-5.085730597282644
2015-08-25,94914.26940271736,-5.085730597282644
2015-08-26,94914.26940271736,-5.085730597282644
2015-08-27,94914.26940271736,-5.085730597282644
2015-08-28,94914.26940271736,-5.085730597282644
2015-08-31,94914.26940271736,-5.085730597282644
2015-09-01,94914.26940271736,-5.085730597282644
2015-09-02,94914.26940271736,-5.085730597282644
2015-09-03,94914.26940271736,-5.085730597282644
2015-09-04,94914.26940271736,-5.085730597282644
2015-09-08,94914.26940271736,-5.085730597282644
2015-09-09,94914.26940271736,-5.085730597282644
2015-09-10,94914.26940271736,-5.085730597282644
2015-09-11,94914.26940271736,-5.085730597282644
2015-09-14,94461.26282061372,-5.538737179386284
2015-09-15,95642.01196284761,-4.35798803715239
2015-09-16,96470.89657060303,-3.5291034293969714
2015-09-17,96254.04520689393,-3.745954793106066
2015-09-18,94681.11613097167,-5.31888386902833
2015-09-21,95170.37554595746,-4.8296244540425395
2015-09-22,93935.09517451536,-6.064904825484642
2015-09-23,94031.96984443493,-5.968030155565065
2015-09-24,94031.96984443493,-5.968030155565065
2015-09-25,94031.96984443493,-5.968030155565065
2015-09-28,94031.96984443493,-5.968030155565065
2015-09-29,94031.96984443493,-5.968030155565065
2015-09-30,94031.96984443493,-5.968030155565065
2015-10-01,94031.96984443493,-5.968030155565065
2015-10-02,94031.96984443493,-5.968030155565065
2015-10-05,94994.01675675917,-5.005983243240829
2015-10-06,94668.55332979413,-5.33144667020587
2015-10-07,95443.93121445591,-4.556068785544092
2015-10-08,96305.46310529161,-3.6945368947083916
2015-10-09,96362.92089848347,-3.6370791015165307
2015-10-12,96453.83037047616,-3.546169629523836
2015-10-13,95845.97234872956,-4.154027651270444
2015-10-14,95386.48159216752,-4.613518407832482
2015-10-15,96851.0996971241,-3.1489003028759033
2015-10-16,97291.45419776246,-2.7085458022375386
2015-10-19,97339.2866666682,-2.660713333331805
2015-10-20,97214.85197774344,-2.7851480222565588
2015-10-21,96611.7821054295,-3.3882178945704946
2015-10-22,98243.92007330125,-1.756079926698745
2015-10-23,99320.85332137869,-0.6791466786213132
2015-10-26,99076.74758025144,-0.9232524197485618
2015-10-27,98885.30331197992,-1.114696688020078
2015-10-28,100010.07719986654,0.010077199866544106
2015-10-29,99952.6439193851,-0.04735608061490348
2015-10-30,99521.8493758051,-0.4781506241948955
2015-11-02,100699.30107835442,0.6993010783544159
2015-11-03,100991.25563019434,0.9912556301943405
2015-11-04,100684.94480095991,0.6849448009599146
2015-11-05,100584.4345173915,0.5844345173915062
2015-11-06,100531.77304453577,0.5317730445357738
2015-11-09,99593.655275488,-0.40634472451200415
2015-11-10,99823.38839741382,-0.17661160258618475
2015-11-11,99430.93173290894,-0.569068267091061
2015-11-12,98837.42151281408,-1.1625784871859215
2015-11-13,98837.42151281408,-1.1625784871859215
2015-11-16,98837.42151281408,-1.1625784871859215
2015-11-17,98837.42151281408,-1.1625784871859215
2015-11-18,98837.42151281408,-1.1625784871859215
2015-11-19,98837.42151281408,-1.1625784871859215
2015-11-20,98771.35715908845,-1.2286428409115469
2015-11-23,98658.1003725135,-1.3418996274865058
2015-11-24,98790.25611501027,-1.20974388498973
2015-11-25,98776.09398180031,-1.2239060181996901
2015-11-27,98889.34271255432,-1.1106572874456762
2015-11-30,98478.79391006345,-1.521206089936546
2015-12-01,99417.83678940637,-0.5821632105936296
2015-12-02,98403.2867004065,-1.5967132995934954
2015-12-03,97025.36269633187,-2.9746373036681324
2015-12-04,97025.37319417733,-2.9746268058226706
2015-12-07,97025.37319417733,-2.9746268058226706
2015-12-08,97025.37319417733,-2.9746268058226706
2015-12-09,97025.37319417733,-2.9746268058226706
2015-12-10,97025.37319417733,-2.9746268058226706
2015-12-11,97025.37319417733,-2.9746268058226706
2015-12-14,97025.37319417733,-2.9746268058226706
2015-12-15,97025.37319417733,-2.9746268058226706
2015-12-16,97025.37319417733,-2.9746268058226706
2015-12-17,97025.37319417733,-2.9746268058226706
2015-12-18,97025.37319417733,-2.9746268058226706
2015-12-21,97025.37319417733,-2.9746268058226706
2015-12-22,97025.37319417733,-2.9746268058226706
2015-12-23,97025.37319417733,-2.9746268058226706
2015-12-24,97006.50364343377,-2.993496356566233
2015-12-28,96784.82820513866,-3.215171794861337
2015-12-29,97817.74482352613,-2.1822551764738747
2015-12-30,97124.40878791401,-2.8755912120859866
2015-12-31,96152.84190358678,-3.8471580964132155
2016-01-04,94808.67843478838,-5.19132156521162
2016-01-05,94987.89050418227,-5.012109495817727
2016-01-06,94987.89050418227,-5.012109495817727
2016-01-07,94987.89050418227,-5.012109495817727
2016-01-08,94987.89050418227,-5.012109495817727
2016-01-11,94987.89050418227,-5.012109495817727
2016-01-12,94987.89050418227,-5.012109495817727
2016-01-13,94987.89050418227,-5.012109495817727
2016-01-14,94987.89050418227,-5.012109495817727
2016-01-15,94987.89050418227,-5.012109495817727
2016-01-19,94987.89050418227,-5.012109495817727
2016-01-20,94987.89050418227,-5.012109495817727
2016-01-21,94987.89050418227,-5.012109495817727
2016-01-22,94987.89050418227,-5.012109495817727
2016-01-25,94987.89050418227,-5.012109495817727
2016-01-26,94987.89050418227,-5.012109495817727
2016-01-27,94987.89050418227,-5.012109495817727
2016-01-28,94987.89050418227,-5.012109495817727
2016-01-29,94987.89050418227,-5.012109495817727
2016-02-01,95540.45880123285,-4.4595411987671545
2016-02-02,93818.5954402808,-6.181404559719201
2016-02-03,94381.05149200863,-5.618948507991373
2016-02-04,94529.05434452572,-5.470945655474279
2016-02-05,92728.28738668952,-7.271712613310476
2016-02-08,91652.7362832469,-8.347263716753107
2016-02-09,91652.7362832469,-8.347263716753107
2016-02-10,91652.7362832469,-8.347263716753107
2016-02-11,91652.7362832469,-8.347263716753107
2016-02-12,91652.7362832469,-8.347263716753107
2016-02-16,91652.7362832469,-8.347263716753107
2016-02-17,91652.7362832469,-8.347263716753107
2016-02-18,91126.15970549441,-8.873840294505586
2016-02-19,91083.4430589635,-8.916556941036498
2016-02-22,92402.26517884806,-7.597734821151942
2016-02-23,91235.24575157315,-8.764754248426849
2016-02-24,91652.70315624971,-8.347296843750286
2016-02-25,92762.78047253458,-7.237219527465422
2016-02-26,92549.31799934064,-7.450682000659362
2016-02-29,91823.48118543556,-8.176518814564435
2016-03-01,93981.97603742102,-6.018023962578983
2016-03-02,94404.18331421465,-5.595816685785351
2016-03-03,94774.21445339675,-5.225785546603249
2016-03-04,95082.56971073314,-4.917430289266864
2016-03-07,95158.47105703797,-4.841528942962031
2016-03-08,94119.56131620226,-5.880438683797736
2016-03-09,94584.46108763469,-5.4155389123653155
2016-03-10,94660.33828204739,-5.339661717952607
2016-03-11,96187.88910427022,-3.812110895729784
2016-03-14,96064.55344184024,-3.9354465581597613
2016-03-15,95908.00087711349,-4.091999122886511
2016-03-16,96463.0596618327,-3.536940338167304
2016-03-17,97075.03640564981,-2.9249635943501926
